,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
2824,0.005600000000000001,0.0078000000000000005,0.0078000000000000005,0.011000000000000001,0.004,0.0067,0.0060999999999999995,0.0069,0.0021,0.0038
2825,-0.0013,-0.0022,-0.0011,-0.009300000000000001,0.002,0.0011,-0.0027,-0.0003,-0.0039000000000000003,-0.0037
2826,0.0083,0.0083,0.0091,0.0121,0.0092,0.0017000000000000001,0.0079,0.0087,0.0092,0.0039000000000000003
2827,0.008100000000000001,0.008199999999999999,0.0073,0.011899999999999999,0.0075,0.0131,0.013000000000000001,0.009399999999999999,0.0105,0.008
2828,0.0032,0.009399999999999999,0.0049,0.005699999999999999,0.0026,-0.0023,-0.0005,0.0032,0.0026,0.0033
2829,0.0009,-0.0012,0.0031,0.0049,-0.0026,0.0053,-0.0004,0.0044,0.0078000000000000005,0.0054
2830,0.0015,-0.001,0.0026,-0.0003,-0.0016,0.0034999999999999996,0.0004,0.0044,0.002,-0.0009
2831,0.006,-0.0003,0.0028000000000000004,-0.001,0.004,-0.0026,0.0072,0.0048,-0.0015,0.001
2832,0.0006,0.0036,-0.0025,-0.013500000000000002,0.0034000000000000002,0.0012,0.0072,0.0064,0.0049,0.0052
2833,-0.005699999999999999,-0.0060999999999999995,-0.005699999999999999,0.0036,-0.005,-0.006500000000000001,-0.0005,-0.0002,-0.006500000000000001,-0.0040999999999999995
2834,-0.0072,-0.0067,-0.0108,0.0027,-0.0078000000000000005,-0.0059,-0.010700000000000001,-0.006,-0.0029,-0.008
2835,0.004,-0.0111,-0.011200000000000002,-0.028999999999999998,-0.0073,-0.0059,-0.004,-0.0039000000000000003,-0.0113,-0.0063
2836,-0.0051,-0.0166,-0.0172,-0.032799999999999996,-0.0149,-0.012199999999999999,-0.0096,-0.0045000000000000005,-0.011200000000000002,-0.009300000000000001
2837,-0.0022,0.0021,-0.0005,0.009000000000000001,0.0067,0.0046,0.0002,-0.0002,0.0019,-0.0024
2838,0.006500000000000001,0.0027,0.0027,0.0075,0.0025,0.0006,0.0022,0.006,0.0054,0.0006
2839,0.0085,0.0069,0.0083,0.0124,0.0049,0.0066,0.0069,0.0068000000000000005,0.010700000000000001,0.0039000000000000003
2840,-0.011000000000000001,-0.0129,-0.0167,-0.0196,-0.0147,-0.0158,-0.008199999999999999,-0.0108,-0.012,-0.0128
2841,0.006,0.006,0.0058,0.0051,0.0022,0.0016,0.0012,0.0006,0.0,0.0011
2842,0.0123,0.0226,0.0172,0.0219,0.0192,0.0165,0.015300000000000001,0.0127,0.0148,0.008
2843,0.0043,0.0118,0.0079,0.0095,0.0067,0.0077,0.0014000000000000002,0.005600000000000001,0.0024,0.004
2844,0.0,-0.0031,-0.0011,-0.0045000000000000005,0.0028000000000000004,-0.0028000000000000004,-0.0027,-0.0002,-0.0004,-0.0019
2845,0.0046,0.0096,0.0102,0.002,0.0063,0.0084,0.0066,0.0083,0.009899999999999999,0.0063
2846,0.005699999999999999,0.0098,0.0028000000000000004,-0.0032,0.0075,0.0042,0.0067,0.0106,0.0077,0.005699999999999999
2847,-0.004,0.0008,0.0012,0.0012,-0.0015,0.0043,0.0018,0.0067,0.006500000000000001,0.0031
2848,-0.0017000000000000001,0.0062,0.0042,0.0161,0.0055000000000000005,0.0048,0.0001,0.0,0.0048,0.0029
2849,-0.0077,-0.012,-0.0068000000000000005,-0.019,-0.0101,-0.0089,-0.010700000000000001,-0.004699999999999999,-0.0039000000000000003,-0.006500000000000001
2850,-0.009899999999999999,-0.011399999999999999,-0.011000000000000001,-0.0327,-0.011899999999999999,-0.002,-0.0073,-0.0115,-0.0019,-0.0053
2851,-0.0024,-0.014499999999999999,-0.0143,-0.030699999999999998,-0.0088,-0.013500000000000002,-0.006999999999999999,-0.0126,-0.0069,-0.0079
2852,-0.0017000000000000001,-0.0001,-0.0049,-0.0265,-0.0019,0.0031,0.0007000000000000001,-0.0066,-0.0058,-0.0048
2853,0.0004,0.0024,0.0063,0.0074,0.0043,0.009300000000000001,0.002,0.0098,0.0054,0.0018
2854,0.0036,0.008,0.0115,0.0258,0.0075,0.0074,0.0067,0.0087,0.0067,0.004699999999999999
2855,0.0126,0.016,0.0132,0.0067,0.0152,0.0115,0.0169,0.0134,0.0121,0.0098
2856,-0.009000000000000001,-0.0163,-0.0169,-0.0379,-0.011699999999999999,-0.0104,-0.0076,-0.0098,-0.0116,-0.0123
2857,0.01,0.0077,0.0037,-0.004699999999999999,0.0088,-0.0014000000000000002,0.0095,0.0128,0.0083,0.005600000000000001
2858,-0.0044,-0.0139,-0.0131,-0.012199999999999999,-0.0124,-0.0091,-0.0098,-0.0083,-0.0091,-0.0116
2859,-0.005699999999999999,-0.0084,-0.0141,-0.014199999999999999,-0.0192,-0.0207,-0.0141,-0.0146,-0.0055000000000000005,-0.01
2860,-0.0032,-0.0091,-0.009300000000000001,-0.0053,-0.0078000000000000005,0.0009,-0.0049,-0.0045000000000000005,0.0025,-0.0024
2861,0.0095,0.008199999999999999,0.0159,0.032799999999999996,0.0154,0.0154,0.0085,0.0096,0.004,0.0098
2862,0.0011,0.0011,0.0018,-0.0004,0.0003,0.0005,-0.0001,-0.0004,0.0026,-0.0001
2863,-0.0073,-0.0115,-0.009899999999999999,0.005,-0.0024,-0.0032,-0.009399999999999999,-0.0022,0.0,-0.0059
2864,-0.0134,-0.016399999999999998,-0.019,-0.0192,-0.0167,-0.0125,-0.0098,-0.0121,-0.014199999999999999,-0.0131
2865,-0.0004,-0.004699999999999999,-0.0046,0.0092,-0.006999999999999999,0.0016,-0.0034999999999999996,-0.0039000000000000003,-0.0018,-0.0022
2866,0.0023,0.013500000000000002,0.0113,0.0215,0.0102,0.0079,0.005,0.0106,0.0048,0.0054
2867,0.0085,0.0060999999999999995,0.011200000000000002,0.011399999999999999,0.0095,0.0184,0.0123,0.0128,0.0023,0.0072
2868,0.0053,0.0034000000000000002,0.0087,0.0087,0.0067,0.0134,0.0046,0.0064,0.0022,0.0044
2869,0.0067,0.0077,0.013000000000000001,0.0083,0.0123,0.0113,0.012,0.0079,0.0128,0.009399999999999999
2870,-0.024900000000000002,-0.0242,-0.027999999999999997,-0.0301,-0.0231,-0.0262,-0.024300000000000002,-0.022400000000000003,-0.0152,-0.0241
2871,-0.0068000000000000005,-0.0042,-0.0002,0.0009,0.0007000000000000001,-0.0004,-0.0066,0.0016,-0.0039000000000000003,0.0028000000000000004
2872,-0.0103,-0.0126,-0.0154,-0.0076,-0.0143,-0.0151,-0.0146,-0.014199999999999999,-0.0089,-0.0097
2873,-0.013500000000000002,-0.0187,-0.0141,-0.0321,-0.013600000000000001,-0.0178,-0.013500000000000002,-0.0177,-0.0078000000000000005,-0.0126
2874,0.0009,-0.0044,0.0011,0.0008,0.001,0.0004,0.0005,0.0034999999999999996,0.0021,0.0
2875,-0.013300000000000001,-0.0167,-0.0143,-0.0066,-0.0159,-0.0098,-0.0092,-0.0116,0.0013,-0.0092
